raw_name,canonical_name,uai,institution_type,needs_review,note,source_columns
École nationale supérieure de mécanique et des microtechniques,Ec Nat Sup Mécanique Microtechniques Besançon,0250082D,AUT_ETAB,False,"uai_merged: RNSR UAI 0250082D shared with 'Ec Nat Sup Mécanique Microtechniques Besançon' -- same legal entity, active-vs-historical/formatting spelling variant only; verified not a crosswalk-protected dated identity split (S9a fix cycle finding 3)",other_etab_tutelles
Ecole Centrale de Lyon,Ecole Centrale de Lyon,0690187D,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Lyon'",other_etab_tutelles
École centrale de Lyon,Ecole Centrale de Lyon,0690187D,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Lyon'",other_etab_tutelles
Ecole Centrale de Marseille,Ecole Centrale de Marseille,0133774G,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Marseille'",other_etab_tutelles
École centrale de Marseille,Ecole Centrale de Marseille,0133774G,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Marseille'",other_etab_tutelles
Ecole Centrale de Nantes,Ecole Centrale de Nantes,0440100V,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Nantes'",other_etab_tutelles
Ecole centrale de Nantes,Ecole Centrale de Nantes,0440100V,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Nantes'",other_etab_tutelles
École Centrale de Nantes,Ecole Centrale de Nantes,0440100V,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Centrale de Nantes'",tutelles_raw_v2
Ecole D'Ingénieurs de la Ville de Paris,Ecole D'Ingénieurs de la Ville de Paris,0750043P,AUT_ETAB,False,,other_etab_tutelles
Ecole Française d'Extrême Orient Paris,Ecole Française d'Extrême Orient Paris,0751794T,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Ingénieurs Metz,Ecole Nationale Ingénieurs Metz,0570140T,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure Ingénieurs Caen,Ecole Nationale Supérieure Ingénieurs Caen,0141720U,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure d'Arts et Métiers,Ecole Nationale Supérieure d'Arts et Métiers,0753237L,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure de Chimie de Montpellier,Ecole Nationale Supérieure de Chimie de Montpellier,0340112M,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Montpellier'",other_etab_tutelles
École Nationale Supérieure de Chimie de Montpellier,Ecole Nationale Supérieure de Chimie de Montpellier,0340112M,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Montpellier'",tutelles_raw_v2
École nationale supérieure de chimie de Montpellier,Ecole Nationale Supérieure de Chimie de Montpellier,0340112M,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Montpellier'",other_etab_tutelles
Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech,Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech,0753375L,AUT_ETAB,False,,other_etab_tutelles
École nationale supérieure de chimie de Paris,Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech,0753375L,AUT_ETAB,False,"uai_merged: RNSR UAI 0753375L shared with 'Ecole Nationale Supérieure de Chimie de Paris - Chimie ParisTech' -- same legal entity, active-vs-historical/formatting spelling variant only; verified not a crosswalk-protected dated identity split (S9a fix cycle finding 3)",other_etab_tutelles
Ecole Nationale Supérieure de Chimie de Rennes,Ecole Nationale Supérieure de Chimie de Rennes,0350077U,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Rennes'",other_etab_tutelles
École Nationale Supérieure de Chimie de Rennes,Ecole Nationale Supérieure de Chimie de Rennes,0350077U,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Rennes'",tutelles_raw_v2
École nationale supérieure de chimie de Rennes,Ecole Nationale Supérieure de Chimie de Rennes,0350077U,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Supérieure de Chimie de Rennes'",other_etab_tutelles
Ecole Nationale Supérieure des Mines d'Albi-Carmaux,Ecole Nationale Supérieure des Mines d'Albi-Carmaux,0811200P,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure des Mines d'Alès,Ecole Nationale Supérieure des Mines d'Alès,0300063F,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne),Ecole Nationale Supérieure des Mines de Saint-Etienne (Mines Saint-Etienne),0420094Z,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale Supérieure des Sciences Agronomiques de Bordeaux Aquitaine,Ecole Nationale Supérieure des Sciences Agronomiques de Bordeaux Aquitaine,0330203S,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
Ecole Nationale Vétérinaire Maisons-Alfort,Ecole Nationale Vétérinaire Maisons-Alfort,0940608A,AUT_ETAB,False,,participants_nontutelle
Ecole Nationale Vétérinaire Toulouse,Ecole Nationale Vétérinaire Toulouse,0310153Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Vétérinaire Toulouse'",other_etab_tutelles
École Nationale Vétérinaire de Toulouse,Ecole Nationale Vétérinaire Toulouse,0310153Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Nationale Vétérinaire Toulouse'",tutelles_raw_v2
Ecole Nationale des Chartes Paris,Ecole Nationale des Chartes Paris,0753478Y,AUT_ETAB,False,,other_etab_tutelles
Ecole Nationale du Génie de l'Eau et de l'Environnement Strasbourg,Ecole Nationale du Génie de l'Eau et de l'Environnement Strasbourg,0670189S,AUT_ETAB,False,,other_etab_tutelles
Ecole Normale Supérieure Paris,Ecole Normale Supérieure Paris,0753455Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Normale Supérieure Paris'",other_etab_tutelles;participants_nontutelle
École normale supérieure de Paris,Ecole Normale Supérieure Paris,0753455Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Normale Supérieure Paris'",other_etab_tutelles
Ecole Normale Supérieure de Lyon,Ecole Normale Supérieure de Lyon,0694123G,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Normale Supérieure de Lyon'",other_etab_tutelles
École Normale Supérieure de Lyon,Ecole Normale Supérieure de Lyon,0694123G,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Normale Supérieure de Lyon'",tutelles_raw_v2
École normale supérieure de Lyon,Ecole Normale Supérieure de Lyon,0694123G,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Normale Supérieure de Lyon'",other_etab_tutelles
Ecole Polytechnique,Ecole Polytechnique,0911568K,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Polytechnique'",other_etab_tutelles
École Polytechnique,Ecole Polytechnique,0911568K,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Polytechnique'",tutelles_raw_v2
École polytechnique,Ecole Polytechnique,0911568K,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole Polytechnique'",other_etab_tutelles
Ecole Pratique des Hautes Etudes Paris,Ecole Pratique des Hautes Etudes Paris,0753486G,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
École Pratique des Hautes Études,Ecole Pratique des Hautes Etudes Paris,0753486G,AUT_ETAB,False,"manual_merge_group_g (EPHE, S9c fix G): merged with 'Ecole Pratique des Hautes Etudes Paris' -- same institution, a spelling/suffix/plural variant the UAI-merge pass (5b) could not catch (no uai recorded for the minority spelling, or an extra token like Paris/(CEA)/(Inria) that also changes normalize_key)",tutelles_raw_v2
École pratique des hautes études,Ecole Pratique des Hautes Etudes Paris,0753486G,AUT_ETAB,False,"manual_merge_group_g (EPHE, S9c fix G): merged with 'Ecole Pratique des Hautes Etudes Paris' -- same institution, a spelling/suffix/plural variant the UAI-merge pass (5b) could not catch (no uai recorded for the minority spelling, or an extra token like Paris/(CEA)/(Inria) that also changes normalize_key)",other_etab_tutelles;participants_nontutelle
"Ecole Supérieure Ingénieurs Electrotechnique, Electronique Marne La Vallée","Ecole Supérieure Ingénieurs Electrotechnique, Electronique Marne La Vallée",,OTHER,False,,other_etab_tutelles
Ecole Supérieure d'Electronique de l'Ouest (campus d'Angers),Ecole Supérieure d'Electronique de l'Ouest (campus d'Angers),0490075R,AUT_ETAB,False,,other_etab_tutelles
Ecole Supérieure de Chimie Physique Electronique de Lyon,Ecole Supérieure de Chimie Physique Electronique de Lyon,0693623N,AUT_ETAB,False,,other_etab_tutelles
Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,0753429V,AUT_ETAB,False,,other_etab_tutelles
École supérieure de physique et de chimie industrielles de la ville de Paris,Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris,0753429V,AUT_ETAB,False,"manual_merge_group_g (ESPCI, S9c fix G): merged with 'Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris' -- same institution, a spelling/suffix/plural variant the UAI-merge pass (5b) could not catch (no uai recorded for the minority spelling, or an extra token like Paris/(CEA)/(Inria) that also changes normalize_key)",other_etab_tutelles
Ecole d'économie et de sciences sociales quantitatives de Toulouse,Ecole d'économie et de sciences sociales quantitatives de Toulouse,0311514C,AUT_ETAB,False,,other_etab_tutelles
Ecole des Hautes Etudes en Santé Publique,Ecole des Hautes Etudes en Santé Publique,0350095N,AUT_ETAB,False,,other_etab_tutelles
Ecole des Hautes Etudes en Sciences Sociales Paris,Ecole des Hautes Etudes en Sciences Sociales Paris,0753742K,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
École des hautes études en sciences sociales,Ecole des Hautes Etudes en Sciences Sociales Paris,0753742K,AUT_ETAB,False,"uai_merged: RNSR UAI 0753742K shared with 'Ecole des Hautes Etudes en Sciences Sociales Paris' -- same legal entity, active-vs-historical/formatting spelling variant only; verified not a crosswalk-protected dated identity split (S9a fix cycle finding 3)",other_etab_tutelles;tutelles_raw_v2
Ecole nationale des ponts et chaussées,Ecole nationale des ponts et chaussées,0753501Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale des ponts et chaussées'",other_etab_tutelles;participants_nontutelle
École nationale des ponts et chaussées,Ecole nationale des ponts et chaussées,0753501Y,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale des ponts et chaussées'",other_etab_tutelles;participants_nontutelle
Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire,0292355C,AUT_ETAB,False,,other_etab_tutelles
Ecole nationale supérieure de formation de l'enseignement agricole,Ecole nationale supérieure de formation de l'enseignement agricole,0310143M,AUT_ETAB,False,,other_etab_tutelles
Ecole nationale supérieure des mines de Paris,Ecole nationale supérieure des mines de Paris,0753493P,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale supérieure des mines de Paris'",other_etab_tutelles
École Nationale Supérieure des Mines de Paris,Ecole nationale supérieure des mines de Paris,0753493P,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale supérieure des mines de Paris'",tutelles_raw_v2
École nationale supérieure des mines de Paris,Ecole nationale supérieure des mines de Paris,0753493P,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale supérieure des mines de Paris'",other_etab_tutelles
Ecole nationale supérieure des techniques avancées,Ecole nationale supérieure des techniques avancées,0751878J,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale supérieure des techniques avancées'",other_etab_tutelles
École Nationale Supérieure de Techniques Avancées,Ecole nationale supérieure des techniques avancées,0751878J,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole nationale supérieure des techniques avancées'",tutelles_raw_v2
Ecole normale supérieure Paris-Saclay,Ecole normale supérieure Paris-Saclay,0912423P,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole normale supérieure Paris-Saclay'",other_etab_tutelles
École Normale Supérieure Paris-Saclay,Ecole normale supérieure Paris-Saclay,0912423P,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Ecole normale supérieure Paris-Saclay'",tutelles_raw_v2
Ecole normale supérieure de Rennes,Ecole normale supérieure de Rennes,0352440M,AUT_ETAB,False,,other_etab_tutelles
"Ecologie, Société, Evolution","Ecologie, Société, Evolution",,OTHER,False,,tutelles_raw_v2
Electrophysiology and Heart Modeling Institute,Electrophysiology and Heart Modeling Institute,,OTHER,False,,tutelles_raw_v2
Epigénétique et Destin Cellulaire,Epigénétique et Destin Cellulaire,,OTHER,False,,tutelles_raw_v2
Etablissement Français du Sang,Etablissement Français du Sang,0932598U,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Etablissement Français du Sang'",participants_nontutelle
Etablissement français du sang,Etablissement Français du Sang,0932598U,AUT_ETAB,False,"merged formatting/spelling variant of the same institution (accent/case/hyphen/word-order split, verified not crosswalk-protected); canonical spelling 'Etablissement Français du Sang'",participants_nontutelle
European Genomic Institute for Diabetes,European Genomic Institute for Diabetes,,OTHER,False,,tutelles_raw_v2
Geo-Ocean,Geo-Ocean,,OTHER,False,,tutelles_raw_v2
Grenoble Institute of Neurosciences,Grenoble Institute of Neurosciences,,OTHER,False,,tutelles_raw_v2
Groupe EDF,Groupe EDF,,AUT_ETAB,False,,other_etab_tutelles;participants_nontutelle
Groupe Thalès,Groupe Thalès,,AUT_ETAB,False,,other_etab_tutelles
Groupe des écoles nationales d'économie et statistique,Groupe des écoles nationales d'économie et statistique,0912382V,AUT_ETAB,False,,other_etab_tutelles
Gulliver,Gulliver,,OTHER,False,,tutelles_raw_v2
Génétique et biologie du développement,Génétique et biologie du développement,,OTHER,False,,tutelles_raw_v2
Géosciences Environnement Toulouse,Géosciences Environnement Toulouse,,OTHER,False,,tutelles_raw_v2
HEC Jouy-en-Josas,HEC Jouy-en-Josas,0783054W,AUT_ETAB,False,,other_etab_tutelles
